time	V(N001)	V(N002)	V(N003)	I(V1)	
9.4e-05	3.513249849	1.916318099	0.6387726998	-0.159693175	
9.5e-05	3.42273553	1.866946653	0.6223155508	-0.1555788877	
9.6e-05	3.330059337	1.816396002	0.605465334	-0.1513663335	
9.7e-05	3.235279808	1.764698077	0.5882326923	-0.1470581731	
9.8e-05	3.138456806	1.711885531	0.5706285103	-0.1426571276	
9.9e-05	3.039651488	1.657991721	0.552663907	-0.1381659767	
0.0001	2.938926261	1.603050688	0.5343502294	-0.1335875573	
0.000101	2.836344746	1.547097134	0.5156990447	-0.1289247612	
0.000102	2.731971734	1.4901664	0.4967221334	-0.1241805333	
0.000103	2.62587315	1.432294445	0.4774314818	-0.1193578704	
0.000104	2.518116008	1.373517823	0.4578392742	-0.1144598186	
0.000105	2.408768371	1.313873657	0.4379578855	-0.1094894714	
0.000106	2.297899303	1.25339962	0.4177998733	-0.1044499683	
0.000107	2.185578833	1.192133909	0.3973779697	-0.09934449242	
0.000108	2.071877905	1.130115221	0.3767050736	-0.09417626841	
0.000109	1.956868334	1.067382728	0.3557942426	-0.08894856064	
0.00011	1.840622763	1.003976053	0.3346586843	-0.08366467106	
0.000111	1.723214616	0.939935245	0.3133117483	-0.07832793709	
0.000112	1.604718049	0.875300754	0.291766918	-0.0729417295	
0.000113	1.485207908	0.8101134043	0.2700378014	-0.06750945036	
0.000114	1.364759678	0.7444143696	0.2481381232	-0.0620345308	
0.000115	1.243449436	0.6782451468	0.2260817156	-0.0565204289	
0.000116	1.121353805	0.6116475299	0.20388251	-0.05097062749	
0.000117	0.9985499026	0.5446635832	0.1815545277	-0.04538863194	
0.000118	0.8751152949	0.4773356154	0.1591118718	-0.03977796795	
0.000119	0.7511279456	0.4097061521	0.1365687174	-0.03414217935	
0.00012	0.6266661678	0.3418179097	0.1139393032	-0.02848482581	
0.000121	0.5018085743	0.2737137678	0.09123792259	-0.02280948065	
0.000122	0.3766340276	0.2054367423	0.06847891412	-0.01711972853	
0.000123	0.2512215909	0.1370299587	0.04567665289	-0.01141916322	
0.000124	0.1256504772	0.06853662394	0.02284554131	-0.005711385328	
0.000125	3.169856809e-14	1.729012805e-14	5.763376016e-15	-1.440844004e-15	
0.000126	-0.1256504772	-0.06853662394	-0.02284554131	0.005711385328	
0.000127	-0.2512215909	-0.1370299587	-0.04567665289	0.01141916322	
0.000128	-0.3766340276	-0.2054367423	-0.06847891412	0.01711972853	
0.000129	-0.5018085743	-0.2737137678	-0.09123792259	0.02280948065	
0.00013	-0.6266661678	-0.3418179097	-0.1139393032	0.02848482581	
0.000131	-0.7511279456	-0.4097061521	-0.1365687174	0.03414217935	
0.000132	-0.8751152949	-0.4773356154	-0.1591118718	0.03977796795	
0.000133	-0.9985499026	-0.5446635832	-0.1815545277	0.04538863194	
0.000134	-1.121353805	-0.6116475299	-0.20388251	0.05097062749	
0.000135	-1.243449436	-0.6782451468	-0.2260817156	0.0565204289	
0.000136	-1.364759678	-0.7444143696	-0.2481381232	0.0620345308	
0.000137	-1.485207908	-0.8101134043	-0.2700378014	0.06750945036	
0.000138	-1.604718049	-0.875300754	-0.291766918	0.0729417295	
0.000139	-1.723214616	-0.939935245	-0.3133117483	0.07832793709	
0.00014	-1.840622763	-1.003976053	-0.3346586843	0.08366467106	
0.000141	-1.956868334	-1.067382728	-0.3557942426	0.08894856064	
0.000142	-2.071877905	-1.130115221	-0.3767050736	0.09417626841	
0.000143	-2.185578833	-1.192133909	-0.3973779697	0.09934449242	
0.000144	-2.297899303	-1.25339962	-0.4177998733	0.1044499683	
0.000145	-2.408768371	-1.313873657	-0.4379578855	0.1094894714	
0.000146	-2.518116008	-1.373517823	-0.4578392742	0.1144598186	
0.000147	-2.62587315	-1.432294445	-0.4774314818	0.1193578704	
0.000148	-2.731971734	-1.4901664	-0.4967221334	0.1241805333	
0.000149	-2.836344746	-1.547097134	-0.5156990447	0.1289247612	
0.00015	-2.938926261	-1.603050688	-0.5343502294	0.1335875573	
0.000151	-3.039651488	-1.657991721	-0.552663907	0.1381659767	
0.000152	-3.138456806	-1.711885531	-0.5706285103	0.1426571276	
0.000153	-3.235279808	-1.764698077	-0.5882326923	0.1470581731	
0.000154	-3.330059337	-1.816396002	-0.605465334	0.1513663335	
0.000155	-3.42273553	-1.866946653	-0.6223155508	0.1555788877	
0.000156	-3.513249849	-1.916318099	-0.6387726998	0.159693175	
0.000157	-3.601545124	-1.964479159	-0.6548263863	0.1637065966	
0.000158	-3.687565587	-2.011399411	-0.6704664703	0.1676166176	
0.000159	-3.771256904	-2.05704922	-0.6856830734	0.1714207683	
0.00016	-3.852566214	-2.101399753	-0.7004665843	0.1751166461	
0.000161	-3.931442161	-2.144422997	-0.7148076656	0.1787019164	
0.000162	-4.007834924	-2.186091777	-0.728697259	0.1821743147	
0.000163	-4.081696254	-2.226379775	-0.7421265916	0.1855316479	
0.000164	-4.152979496	-2.265261543	-0.7550871811	0.1887717953	
0.000165	-4.221639628	-2.302712524	-0.7675708414	0.1918927103	
0.000166	-4.287633281	-2.338709062	-0.7795696874	0.1948924219	
0.000167	-4.350918773	-2.373228422	-0.7910761406	0.1977690352	
0.000168	-4.411456132	-2.406248799	-0.8020829331	0.2005207333	
0.000169	-4.469207121	-2.437749339	-0.8125831129	0.2031457782	
0.00017	-4.524135262	-2.467710143	-0.8225700477	0.2056425119	
0.000171	-4.576205863	-2.496112289	-0.8320374297	0.2080093574	
0.000172	-4.625386034	-2.522937837	-0.8409792789	0.2102448197	
0.000173	-4.671644712	-2.548169843	-0.8493899477	0.2123474869	
0.000174	-4.714952679	-2.571792371	-0.8572641235	0.2143160309	
0.000175	-4.755282581	-2.593790499	-0.864596833	0.2161492082	
0.000176	-4.792608945	-2.614150334	-0.8713834446	0.2178458611	
0.000177	-4.826908194	-2.632859015	-0.8776196717	0.2194049179	
0.000178	-4.858158665	-2.649904726	-0.8833015754	0.2208253938	
0.000179	-4.886340618	-2.665276701	-0.8884255669	0.2221063917	
0.00018	-4.911436254	-2.678965229	-0.8929884098	0.2232471024	
0.000181	-4.933429721	-2.690961666	-0.896987222	0.2242468055	
0.000182	-4.952307128	-2.701258434	-0.9004194779	0.2251048695	
0.000183	-4.968056553	-2.709849029	-0.9032830096	0.2258207524	
0.000184	-4.980668046	-2.716728025	-0.9055760083	0.2263940021	
0.000185	-4.990133642	-2.721891078	-0.9072970258	0.2268242565	
0.000186	-4.996447363	-2.725334925	-0.9084449751	0.2271112438	
0.000187	-4.999605221	-2.727057393	-0.9090191311	0.2272547828	
0.000188	-4.999605221	-2.727057393	-0.9090191311	0.2272547828	
0.000189	-4.996447363	-2.725334925	-0.9084449751	0.2271112438	
0.00019	-4.990133642	-2.721891078	-0.9072970258	0.2268242565	
0.000191	-4.980668046	-2.716728025	-0.9055760083	0.2263940021	
0.000192	-4.968056553	-2.709849029	-0.9032830096	0.2258207524	
0.000193	-4.952307128	-2.701258434	-0.9004194779	0.2251048695	
0.000194	-4.933429721	-2.690961666	-0.896987222	0.2242468055	
0.000195	-4.911436254	-2.678965229	-0.8929884098	0.2232471024	
0.000196	-4.886340618	-2.665276701	-0.8884255669	0.2221063917	
0.000197	-4.858158665	-2.649904726	-0.8833015754	0.2208253938	
0.000198	-4.826908194	-2.632859015	-0.8776196717	0.2194049179	
0.000199	-4.792608945	-2.614150334	-0.8713834446	0.2178458611	
0.0002	-4.755282581	-2.593790499	-0.864596833	0.2161492082	
0.000201	-4.714952679	-2.571792371	-0.8572641235	0.2143160309	
0.000202	-4.671644712	-2.548169843	-0.8493899477	0.2123474869	
0.000203	-4.625386034	-2.522937837	-0.8409792789	0.2102448197	
0.000204	-4.576205863	-2.496112289	-0.8320374297	0.2080093574	
0.000205	-4.524135262	-2.467710143	-0.8225700477	0.2056425119	
0.000206	-4.469207121	-2.437749339	-0.8125831129	0.2031457782	
0.000207	-4.411456132	-2.406248799	-0.8020829331	0.2005207333	
0.000208	-4.350918773	-2.373228422	-0.7910761406	0.1977690352	
0.000209	-4.287633281	-2.338709062	-0.7795696874	0.1948924219	
0.00021	-4.221639628	-2.302712524	-0.7675708414	0.1918927103	
0.000211	-4.152979496	-2.265261543	-0.7550871811	0.1887717953	
0.000212	-4.081696254	-2.226379775	-0.7421265916	0.1855316479	
0.000213	-4.007834924	-2.186091777	-0.728697259	0.1821743147	
0.000214	-3.931442161	-2.144422997	-0.7148076656	0.1787019164	
0.000215	-3.852566214	-2.101399753	-0.7004665843	0.1751166461	
0.000216	-3.771256904	-2.05704922	-0.6856830734	0.1714207683	
0.000217	-3.687565587	-2.011399411	-0.6704664703	0.1676166176	
0.000218	-3.601545124	-1.964479159	-0.6548263863	0.1637065966	
0.000219	-3.513249849	-1.916318099	-0.6387726998	0.159693175	
0.00022	-3.42273553	-1.866946653	-0.6223155508	0.1555788877	
0.000221	-3.330059337	-1.816396002	-0.605465334	0.1513663335	
0.000222	-3.235279808	-1.764698077	-0.5882326923	0.1470581731	
0.000223	-3.138456806	-1.711885531	-0.5706285103	0.1426571276	
0.000224	-3.039651488	-1.657991721	-0.552663907	0.1381659767	
0.000225	-2.938926261	-1.603050688	-0.5343502294	0.1335875573	
0.000226	-2.836344746	-1.547097134	-0.5156990447	0.1289247612	
0.000227	-2.731971734	-1.4901664	-0.4967221334	0.1241805333	
0.000228	-2.62587315	-1.432294445	-0.4774314818	0.1193578704	
0.000229	-2.518116008	-1.373517823	-0.4578392742	0.1144598186	
